prior_spec,beta1_est,beta1_se,HR_med,HR_lo,HR_hi,rhat_max,ess_min
Frequentist MLE,2.4790387900905366,0.47868866909545454,11.929791870805412,4.668365445132399,30.486031085918672,,
vague,1.843113520693135,0.44860701359082444,6.316173306719207,2.672917622977495,15.50080581692506,1.0,1058.0
weakly_informative,1.5960883064289537,0.41672085778185153,4.933695630213855,2.1850752881854216,11.117026288320037,1.0,1641.0
skeptical,1.3760627042588218,0.39043018092118076,3.9592821164365497,1.8558854252076287,8.489502959999008,1.0,1631.0
informative,1.6070721081359949,0.35679618383414685,4.988184979296217,2.424997893857821,10.098214366132568,1.0,1600.0
