specification,excluded_region,n_obs,n_events,n_projects,n_blue,n_pem,blue_coef,blue_se,blue_p,blue_hr,hr_lower,hr_upper
Full sample,none,4246,43,714,244,470,2.661337945596026,0.3284850144006567,5.412744900720114e-16,14.315429557307581,7.519557682164432,27.253135366766404
Excl. ANZ,ANZ,3944,36,663,230,433,2.9903406517822466,0.3354213929359574,4.870433823137807e-19,19.892457738681152,10.307942572618481,38.38883192232369
Excl. Asia,Asia,3709,43,608,204,404,2.6613379455960113,0.32870696547212497,5.661673028457814e-16,14.315429557307372,7.516287204770478,27.26499371660019
Excl. EU,EU,2868,37,501,224,277,2.683809578041385,0.4185957684752518,1.4413358987621414e-10,14.64076231744691,6.4453688929594595,33.256734377161685
Excl. MENA,MENA,4157,41,695,232,463,2.5596739178767924,0.35219174661830127,3.652760507035014e-13,12.931599864422477,6.484262546569898,25.789559545517207
Excl. North_America,North_America,3291,29,552,146,406,2.5908864605085253,0.22702949456104923,3.637793932206275e-30,13.341593158206376,8.54980650047234,20.818963328499372
Excl. Other,Other,3772,40,638,217,421,2.40555412526244,0.39998444989590354,1.8086748770796986e-09,11.0845708214308,5.061103808422563,24.276860334467298
Excl. Other_Europe,Other_Europe,3735,32,627,211,416,2.893952603456747,0.28305164585364667,1.5463376309954534e-24,18.06457076005393,10.372638000378757,31.460532675784073
