"method","blue_ccs_hr","blue_ccs_se","blue_ccs_p","ci_low","ci_high","n_events","n_sample"
"Fine-Gray cancelled",13.1865599111891,0.466593759506885,3.24425352941423e-08,5.28395227008871,32.9082007942628,31,714
"Fine-Gray on-hold",1.1958939134902,0.647878144844776,0.782453721934962,0.335898175721051,4.25772557190246,12,714
"Cox baseline",13.7314352641519,0.49152673359436,9.83776480274142e-08,5.23986299170381,35.9842069749009,43,714
"Cox shared frailty",13.7314360108946,0.491526765402721,9.83777749200097e-08,5.23986294998192,35.9842111752072,43,714
