v7_project_id,sp_record_id,match_quality,cap_diff,sp_project_name
638,CETPROJH2806,exact,0.5389965007326869,GrInHy
639,CETPROJH2927,exact,1.2656663733312756,Vannes H2
24,CETPROJH2820,relaxed,1.3862943611198906,Neumunster H2
41,CETPROJH2728,relaxed,0.6671716941566843,eFarm Langenhorn
73,CETPROJH21360,relaxed,1.252762968495368,Air Products Botlek
75,CETPROJH21267,relaxed,1.252762968495368,Ravenna H2
131,CETPROJH2994,relaxed,1.9459101490553132,Port of Barcelona H2
234,CETPROJH21300,relaxed,1.4350845252893225,SINES GH2 SOLAR
603,CETPROJH2835,relaxed,2.014903020542265,Frankfurt 1 H2
626,CETPROJH2806,relaxed,2.8853842163851255,GrInHy
633,CETPROJH2927,relaxed,2.970414465569701,Vannes H2
7,CETPROJH21173,exact,0.014144507386165017,Green Fuels for Denmark
10,CETPROJH21306,exact,0.025190248828558914,Monforte H2 Pilot
39,CETPROJH2919,exact,0.01960847138837618,Dijon H2
42,CETPROJH2574,exact,0.08294908298075132,MultiplHy
43,CETPROJH21325,exact,0.09440968447107423,SEM-REV/Sealhyfe
125,CETPROJH2868,exact,0.24469188752041227,ZE PAK Green H2
621,CETPROJH2563,exact,0.15303316102414755,Greenpoint
1,CETPROJH2820,exact,0.0953101798043248,Neumunster H2
139,CETPROJH2725,relaxed,1.791759469228055,North Stream H2
77,CETPROJH2725,exact,0.0,North Stream H2
315,,exact_exhausted,,
332,CETPROJH290,exact,0.4678082386822995,Minneapolis Demonstration Plant
16,CETPROJH294,relaxed,0.6931471805599453,H2-Orange
544,CETPROJH2284,relaxed,0.6931471805599453,Bruce H2
658,CETPROJH2143,relaxed,1.791759469228055,Heligon Testing Facility
660,CETPROJH21376,relaxed,1.791759469228055,Enel US H2
6,CETPROJH294,exact,0.0,H2-Orange
80,CETPROJH271,relaxed,9.078065332666364,North Las Vegas H2
699,CETPROJH21211,exact,0.867500567704723,Stord Hydrogen Energy House project
649,CETPROJH21048,exact,0.2876820724517808,Long Mountain Antrium H2
653,CETPROJH240,exact,0.6931471805599453,Bandirma Energy Base
681,CETPROJH21077,exact,0.6931471805599453,Vanguard H2
695,,exact_exhausted,,
702,,exact_exhausted,,
705,,exact_exhausted,,
689,CETPROJH2853,exact,0.0392207131532812,Zaporizhzhia H2
668,CETPROJH22890,exact,0.0,IOC Blue Ammonia Eastern Siberia
711,,exact_exhausted,,
608,CETPROJH2199,exact,1.9061698204057995,Verne Pilot Project
444,CETPROJH2364,exact,0.11778303565638348,Power-to-X Pilot
464,CETPROJH2349,exact,0.7896580809407889,Daures Green Hydrogen Village
441,CETPROJH21421,exact,0.021053409197832273,Ain Sokhna H2
425,CETPROJH2336,exact,0.009950330853168,Inga Dam
439,CETPROJH2220,exact,0.0,Las Tortolas H2
183,CETPROJH2218,exact,0.034420368400903456,HyEX
180,,no_match,,
313,,no_match,,
317,,no_match,,
96,,no_match,,
108,,no_match,,
563,,no_match,,
93,,no_match,,
97,,no_match,,
383,,no_match,,
597,,no_match,,
78,,no_match,,
85,,no_match,,
106,,no_match,,
113,,no_match,,
287,,no_match,,
292,,no_match,,
407,,no_match,,
584,,no_match,,
2,CETPROJH2918,exact,0.35667494393873245,VHyGO (Grand Ouest Hydrogen Valley)
32,CETPROJH2991,exact,0.38946476676172326,Fusion Fuel H2
35,CETPROJH21580,exact,0.4519851237430572,Vienna Basin Green Hydrogen Project
38,CETPROJH2992,exact,0.07020425867324853,Green H2 Langosteira
46,CETPROJH2914,exact,0.39204208777602334,HyPSTER
122,CETPROJH21720,exact,1.3156767939059373,Renewable Gasfield Pilot Project
123,CETPROJH23307,exact,0.8194409058842376,HRS Compagnie Maritime Belge
129,CETPROJH2917,exact,0.03352269203864289,VHyGO (Grand Ouest Hydrogen Valley)
130,CETPROJH21593,exact,1.836211231798889,Hydrogen Lab Leuna/ e-CO2Met project
145,CETPROJH2549,exact,1.9328380674879604,LIFE NEW HYTS Project
434,CETPROJH2521,exact,1.072636802264849,Renewable Gasfield Project
552,CETPROJH2515,exact,1.9965538818740685,Underground Sun Storage 2030
569,CETPROJH21592,exact,0.13176927763112367,Aachen Nord wind farm H2
634,CETPROJH2916,exact,0.04445176257083361,VHyGO (Grand Ouest Hydrogen Valley)
13,CETPROJH2579,exact,0.0,Port of Ijzendoorn H2
30,CETPROJH21290,exact,0.0,Hyround
141,CETPROJH2595,exact,0.4054651081081645,GROHW
144,CETPROJH21279,exact,0.0,PROMETEO
147,CETPROJH21263,exact,0.2876820724517808,Seixal Industrial Park
530,CETPROJH21315,exact,1.6094379124341005,Fronius Solhub Herzogenburg
625,,exact_exhausted,,
635,,exact_exhausted,,
630,CETPROJH2997,relaxed,0.23111172096338659,Sestao H2
4,CETPROJH21329,exact,0.01298719552681149,Herten Linde H2
8,CETPROJH2939,exact,0.019048194970694432,Y Basque Green H2 - Jundiz
40,CETPROJH2969,exact,0.03369384578647239,Alcudia H2
44,CETPROJH2518,exact,0.01960847138837618,H2Pioneer
49,CETPROJH2940,exact,0.029270382300112807,Y Basque Green H2 - Pasaia
128,CETPROJH2967,exact,0.03658944743229231,Sesena H2
379,CETPROJH21242,exact,0.01972450534777881,Port of Gothenburg H2
551,CETPROJH2970,exact,0.00701757265864611,Granadilla H2
119,CETPROJH2997,exact,0.048790164169432,Sestao H2
140,CETPROJH22050,exact,2.1380701548495553,Wintershall Dea Turquoise Hydrogen
14,CETPROJH21274,exact,0.0,Prinos H2
136,,exact_exhausted,,
429,,exact_exhausted,,
501,,exact_exhausted,,
647,,exact_exhausted,,
279,CETPROJH289,exact,0.6607119048067913,Amelia Island project
517,CETPROJH21618,exact,0.0,Sauk Valley H2 project
591,CETPROJH297,exact,0.6931471805599454,SoCalGas Clinton
593,CETPROJH2100,exact,1.3156767939059373,SoCalGas Demo
606,,exact_exhausted,,
617,,exact_exhausted,,
642,,exact_exhausted,,
308,CETPROJH2291,exact,0.5108256237659909,Vancouver H2
554,CETPROJH299,relaxed,0.2468600779315258,Palomar Green Hydrogen Systems Project
713,CETPROJH296,relaxed,0.1823215567939546,Borrego Springs project
620,CETPROJH21762,exact,0.17416311934227213,Tent Mountain Renewable Energy Complex (TM-REX)
645,CETPROJH2290,exact,1.4425340794427663,Burnaby H2
666,,exact_exhausted,,
47,CETPROJH266,exact,0.0,University of California Los Angeles
69,CETPROJH21333,exact,0.0,Pecos County H2
71,,exact_exhausted,,
74,,exact_exhausted,,
83,,exact_exhausted,,
84,,exact_exhausted,,
91,,exact_exhausted,,
276,,exact_exhausted,,
288,,exact_exhausted,,
299,,exact_exhausted,,
306,,exact_exhausted,,
318,,exact_exhausted,,
319,,exact_exhausted,,
624,,exact_exhausted,,
539,CETPROJH21021,exact,0.6613984822453651,Dorset Green H2
655,CETPROJH21601,exact,0.39204208777602334,Octopus Hydrogen 40 ft container
680,CETPROJH21095,exact,0.6190392084062233,Holyhead Hydrogen Hub
682,CETPROJH21011,exact,1.015920572822996,Arbikie Distillery H2
686,CETPROJH21008,exact,1.4026434991214205,Aberdeen Hydrogen Hub
687,,exact_exhausted,,
701,,exact_exhausted,,
19,CETPROJH21064,exact,0.0,SHAPE UK H2
710,CETPROJH21052,exact,0.13353139262452252,Orbital 2
670,CETPROJH2863,exact,0.0,EN+ HPP H2 project 4
688,CETPROJH2862,exact,0.0295588022415444,EN+ HPP H2 project 3
679,CETPROJH21047,exact,0.6428527209482953,HyPER
697,CETPROJH23059,exact,0.7184223255181399,CCB Energy Park
262,CETPROJH2849,exact,0.0,Yamal Peninsula
657,CETPROJH2848,exact,0.0,Gazprom blue hydrogen
674,CETPROJH21070,exact,0.0,South Wales Industrial Cluster (HYDREUS)
675,,exact_exhausted,,
685,,exact_exhausted,,
690,,exact_exhausted,,
691,,exact_exhausted,,
692,,exact_exhausted,,
693,,exact_exhausted,,
696,,exact_exhausted,,
698,,exact_exhausted,,
706,,exact_exhausted,,
707,,exact_exhausted,,
413,CETPROJH2192,exact,0.0,Cartagena refinery pilot project
527,CETPROJH2342,exact,0.5596157879354227,Sasolburg H2 (Sasolburg solar farm)
193,CETPROJH257,exact,0.0,Taqa/Emirates steel Green H2 project
195,CETPROJH2340,exact,0.0,Durban Hub
479,CETPROJH2339,exact,0.048790164169432,Johannesburg Hub
499,CETPROJH2338,exact,0.0,Green Hydrogen Pilot Project Algeria
214,CETPROJH2223,exact,0.04647676584572835,Aconcagua HyPro
622,CETPROJH21787,exact,0.09078135823390454,Neptuno Solar PV H2 Project
26,CETPROJH2348,exact,0.0,Blue Hydrogen Feasibility Study ENI
27,CETPROJH2341,exact,0.0,Lesedi Project
28,,exact_exhausted,,
166,,exact_exhausted,,
186,,exact_exhausted,,
196,,exact_exhausted,,
309,,exact_exhausted,,
316,,exact_exhausted,,
637,,exact_exhausted,,
89,,no_match,,
155,,no_match,,
222,,no_match,,
103,,no_match,,
111,,no_match,,
159,,no_match,,
371,,no_match,,
575,,no_match,,
576,,no_match,,
110,,no_match,,
212,,no_match,,
216,,no_match,,
237,,no_match,,
587,,no_match,,
92,,no_match,,
94,,no_match,,
101,,no_match,,
156,,no_match,,
90,,no_match,,
105,,no_match,,
168,,no_match,,
173,,no_match,,
175,,no_match,,
176,,no_match,,
177,,no_match,,
178,,no_match,,
191,,no_match,,
205,,no_match,,
206,,no_match,,
208,,no_match,,
293,,no_match,,
314,,no_match,,
574,,no_match,,
3,CETPROJH21401,exact,0.0,Port of Vigo H2
535,CETPROJH2986,exact,0.6466271649250523,Coagener Los Barrios
580,CETPROJH21442,exact,0.485507815781701,Duferco Sicily H2/Giammoro Hydrogen Valley
599,CETPROJH21595,exact,0.06669137449867213,SINES GH2 SOLAR
600,CETPROJH2922,exact,0.9067212808580045,Renault Flins Plant H2
618,CETPROJH21511,exact,1.5723966407537513,GreenH2CY
644,CETPROJH21304,exact,0.20223686649489636,SynBioS (Syngas Biological Storage)
661,,exact_exhausted,,
29,CETPROJH21357,exact,0.6931471805599452,Saarbrucken H2
594,,exact_exhausted,,
619,,exact_exhausted,,
627,,exact_exhausted,,
629,,exact_exhausted,,
631,,exact_exhausted,,
12,CETPROJH22066,relaxed,0.1484200051182732,Methanol-to-SAF (M2SAF) project
11,CETPROJH21650,exact,0.05851471406142661,Lingen RWE ALK H2
45,CETPROJH2921,exact,0.01960847138837618,Belfort H2
628,CETPROJH21356,exact,0.09440968447107423,Pfeffenhausen H2
602,CETPROJH22066,exact,0.0,Methanol-to-SAF (M2SAF) project
278,CETPROJH22418,relaxed,9.169622538697624,Koping Hydrogen Park
428,CETPROJH22986,relaxed,11.577467111102917,Yara-Northern Lights Sluiskil Plant
500,CETPROJH21841,relaxed,11.744957397329843,BlueHyNow Project
261,CETPROJH21418,exact,0.2513144282809061,Port Hawkesbury Paper H2
449,CETPROJH2313,exact,0.8472978603872039,Port of Baie-Comeau H2
560,,exact_exhausted,,
588,,exact_exhausted,,
592,,exact_exhausted,,
275,CETPROJH2311,exact,0.13041709549516423,Charbone Winnipeg H2
511,CETPROJH21530,exact,0.7529189238598626,Fresno H2B2 Green Hydrogen (Sohycal Plant)
512,CETPROJH22164,exact,1.1034315751040582,Hydra Energy Hydrogen Station
595,CETPROJH21388,exact,1.729239112246721,Pryor H2
607,CETPROJH2310,exact,0.0,Spirit of Scotia Green Hydrogen Hub
610,CETPROJH2160,exact,0.06241939786968853,Plug Olin Louisiana H2 project
57,CETPROJH23277,exact,0.0,Beaumont Blue Ammonia Project
88,CETPROJH2314,exact,0.0,Crossfield TC Energy
213,CETPROJH2300,exact,0.0,Port Moody H2
246,CETPROJH22900,exact,0.0,Project Phoenix Ammonia complex
248,CETPROJH2166,exact,0.0,Cook Inlet Blue Ammonia
253,CETPROJH21394,exact,0.0,West Virginia Clean Energy Hub
257,CETPROJH21377,exact,0.0,Painter Reservoir Gas Complex
305,CETPROJH21368,exact,0.0,Clean Energy Hub United States
307,,exact_exhausted,,
323,,exact_exhausted,,
324,,exact_exhausted,,
393,,exact_exhausted,,
396,,exact_exhausted,,
