prior,z,eua_eur_tco2,HR_median,HR_lo,HR_hi
vague,-1.5,23.720672582603292,181.69376354584196,14.653536624115128,5589.390936039142
vague,-1.0,35.71623866740191,76.82821933590982,10.75459310629274,1073.0923030352205
vague,-0.5,47.711804752200536,32.203032163357605,7.680644774004833,206.03672893194016
vague,0.0,59.70737083699916,13.544301687383584,4.990739265591197,44.791580710659886
vague,0.5,71.70293692179779,5.739525971223088,2.7015464160321514,13.057892193299395
vague,1.0,83.69850300659641,2.3761737432910066,0.9451160558101931,6.3669585922763545
vague,1.5,95.69406909139502,0.9812432228405485,0.2270617437615922,4.42288101890129
weakly_informative,-1.5,23.720672582603292,93.2214347778573,11.03343828837609,1230.671217161183
weakly_informative,-1.0,35.71623866740191,45.75357314779186,8.20371773361431,327.3388450835094
weakly_informative,-0.5,47.711804752200536,22.07697419954766,6.375587951283661,96.2832801064447
weakly_informative,0.0,59.70737083699916,10.883167729081265,4.464563390328083,29.533000577969926
weakly_informative,0.5,71.70293692179779,5.340351234760385,2.6136527639914746,11.34430253844923
weakly_informative,1.0,83.69850300659641,2.60565744129556,1.0419698689740395,6.454797618622892
weakly_informative,1.5,95.69406909139502,1.2789362851288635,0.3298478114743036,4.882884055026197
skeptical,-1.5,23.720672582603292,39.86656277808414,6.154814889705446,346.1419968047015
skeptical,-1.0,35.71623866740191,23.360989236649885,5.496754384115758,128.73174009997646
skeptical,-0.5,47.711804752200536,13.82232512330513,4.817232908465537,48.18261460876455
skeptical,0.0,59.70737083699916,8.359220878751605,3.768363549622367,20.10113154887786
skeptical,0.5,71.70293692179779,4.931980346037264,2.4256420215591317,10.580969008624823
skeptical,1.0,83.69850300659641,2.9006176381014006,1.227117184568051,7.328161202268301
skeptical,1.5,95.69406909139502,1.728879359121002,0.5288541385114883,6.292961102853583
informative_v7,-1.5,23.720672582603292,406.807989033083,68.26421194008572,2393.306538084193
informative_v7,-1.0,35.71623866740191,137.53957392277067,34.28962985326969,584.521735742605
informative_v7,-0.5,47.711804752200536,46.3732539189423,15.924030732923317,155.59609531205905
informative_v7,0.0,59.70737083699916,15.934869924570261,6.920977303069779,42.51185277999598
informative_v7,0.5,71.70293692179779,5.428112558357551,2.615593610540492,12.03943574607182
informative_v7,1.0,83.69850300659641,1.855921475120499,0.8412352167498274,4.286645332043425
informative_v7,1.5,95.69406909139502,0.6322254894686474,0.21874227776613506,1.9326502133806889
