Date,AI.PA,APD,BP.L,ENI.MI,EQNR.OL,LIN,MT.AS,REP.MC,SHEL.L,TKA.DE,TTE.PA
2015-01-02,53.4567756652832,102.23560333251953,407.7634582519531,7.224302768707275,71.67029571533203,105.96891021728516,16.206680297851562,7.730433940887451,2155.511474609375,18.50042724609375,21.952239990234375
2015-01-05,51.80141067504883,98.9666748046875,387.1491394042969,6.620212554931641,69.4116439819336,103.17188262939453,15.585000038146973,7.278624057769775,2068.018310546875,17.999225616455078,20.63845443725586
2015-01-06,51.369117736816406,98.93154907226562,388.49041748046875,6.7093424797058105,70.12781524658203,101.85086822509766,15.58141040802002,7.256282806396484,2067.521484375,18.293792724609375,20.607484817504883
2015-01-07,51.601070404052734,100.00007629394531,391.1726379394531,6.744002342224121,70.78885650634766,102.99248504638672,15.556252479553223,7.293520927429199,2085.914306640625,18.117929458618164,21.074661254882812
2015-01-08,53.773094177246094,102.31291961669922,402.3490905761719,7.006433963775635,71.39483642578125,104.68864440917969,16.125825881958008,7.477224826812744,2130.157958984375,18.76421356201172,21.887710571289062
2015-01-09,52.565826416015625,100.78041076660156,396.0406188964844,6.744002342224121,72.05590057373047,103.27790832519531,15.714371681213379,7.199185371398926,2094.365966796875,18.394906997680664,21.19854736328125
2015-01-12,53.48313903808594,100.08441925048828,393.954345703125,6.778663635253906,69.3014907836914,103.04956817626953,15.320882797241211,7.1545000076293945,2066.527099609375,18.41249656677246,21.30954360961914
2015-01-13,54.01032638549805,99.55722045898438,393.7059631347656,6.8875956535339355,71.119384765625,102.34013366699219,15.272369384765625,7.261246204376221,2065.03662109375,18.025604248046875,21.526351928710938
2015-01-14,53.29862594604492,98.36915588378906,379.6486511230469,6.68458366394043,69.68709564208984,101.59805297851562,14.373995780944824,7.134641170501709,1996.43359375,17.001222610473633,21.069499969482422
2015-01-15,54.45843505859375,98.0387191772461,390.0302429199219,6.932159900665283,72.00081634521484,101.50018310546875,14.59499454498291,7.380405426025391,2054.099853515625,17.717849731445312,21.65540885925293
2015-01-16,54.90653991699219,98.21449279785156,410.6442565917969,7.164884090423584,72.71696472167969,100.7336654663086,15.06035041809082,7.549215316772461,2090.388671875,18.23223876953125,22.352306365966797
2015-01-19,55.30194091796875,,406.2235107421875,7.105465888977051,73.54328918457031,,14.93458080291748,7.579004287719727,2108.782958984375,18.24103355407715,22.225830078125
2015-01-20,55.8818359375,99.38846588134766,409.5018615722656,7.065854549407959,72.11099243164062,101.85901641845703,15.426886558532715,7.680786609649658,2104.805419921875,18.707059860229492,22.491689682006836
2015-01-21,56.01363754272461,100.59761810302734,423.21160888671875,7.313431739807129,74.3696060180664,102.4787368774414,15.628125190734863,7.787532806396484,2151.037353515625,18.825763702392578,22.945966720581055
2015-01-22,56.988929748535156,101.45527648925781,425.5957946777344,7.476830959320068,75.91209411621094,103.93840026855469,15.721556663513184,7.9464111328125,2163.962646484375,19.278602600097656,23.2634334564209
2015-01-23,57.91151809692383,100.8506851196289,429.56964111328125,7.452072620391846,75.7468490600586,103.02508544921875,14.920207023620605,8.020885467529297,2172.4140625,19.740234375,23.717708587646484
2015-01-26,58.965877532958984,100.58354187011719,436.12652587890625,7.521395683288574,74.86542510986328,101.54095458984375,15.23104476928711,8.0606050491333,2198.760498046875,19.854541778564453,24.099708557128906
2015-01-27,58.517765045166016,99.71888732910156,437.71612548828125,7.536249160766602,73.65347290039062,100.46456909179688,15.092690467834473,8.080465316772461,2178.379638671875,19.77540397644043,23.947425842285156
2015-01-28,58.28053665161133,97.59587097167969,430.1161193847656,7.526346206665039,73.26786804199219,99.99977111816406,15.200499534606934,7.8917951583862305,2141.094970703125,20.22385025024414,23.52153968811035
2015-01-29,59.176753997802734,103.3322525024414,422.06915283203125,7.3926544189453125,70.73375701904297,99.03748321533203,14.966922760009766,7.896762371063232,2048.1337890625,19.894113540649414,23.183425903320312
2015-01-30,59.044960021972656,102.36210632324219,421.671630859375,7.3777995109558105,70.73375701904297,98.33621978759766,15.205889701843262,7.787532806396484,2006.375732421875,20.30298614501953,23.48799705505371
2015-02-02,59.6248664855957,103.81730651855469,434.8350524902344,7.471879005432129,74.3696060180664,99.66543579101562,15.34424114227295,7.926549911499023,2057.08203125,20.073272705078125,24.262319564819336
2015-02-03,59.6248664855957,104.33049011230469,446.9054870605469,7.749166011810303,77.95037841796875,100.69288635253906,15.991070747375488,8.311333656311035,2167.4423828125,20.576873779296875,24.92308235168457
2015-02-04,60.0466194152832,104.33749389648438,442.43499755859375,7.640231132507324,75.58158874511719,100.06497192382812,15.640702247619629,8.19714069366455,2144.574462890625,20.31182098388672,24.64948272705078
2015-02-05,60.07297897338867,106.51679992675781,447.15380859375,7.768972396850586,76.9036865234375,101.6143569946289,15.908416748046875,8.221964836120605,2156.505859375,20.621049880981445,24.81983184814453
2015-02-06,59.1504020690918,105.67320251464844,447.6505126953125,7.704601764678955,78.55633544921875,102.13623809814453,15.70358943939209,8.226929664611816,2152.529052734375,20.31182098388672,24.613346099853516
2015-02-09,59.176753997802734,105.28653717041016,454.10809326171875,7.6501359939575195,81.97185516357422,101.96501159667969,16.212068557739258,8.174799919128418,2173.9052734375,20.23672103881836,24.752729415893555
2015-02-10,59.88846969604492,105.65211486816406,443.428466796875,7.635279655456543,78.83180236816406,101.85901641845703,15.964117050170898,8.115219116210938,2140.10107421875,20.26764488220215,24.44300079345703
2015-02-11,59.83574295043945,105.45526123046875,442.8819885253906,7.471879005432129,77.6749496459961,101.40233612060547,15.69640064239502,7.978682041168213,2134.135009765625,20.24997329711914,24.23650550842285
2015-02-12,61.04827117919922,107.00885009765625,441.45794677734375,7.664988040924072,79.10723114013672,102.22596740722656,16.379165649414062,8.164868354797363,2100.637451171875,20.87726402282715,24.44300079345703
2015-02-13,61.127349853515625,107.42362213134766,451.29449462890625,7.8432464599609375,82.52275848388672,103.4736099243164,17.200284957885742,8.405668258666992,2136.930908203125,20.325071334838867,24.455900192260742
2015-02-16,60.60015869140625,,449.00921630859375,7.768972396850586,82.35543823242188,,17.68539810180664,8.375879287719727,2119.530517578125,20.426677703857422,24.321683883666992
2015-02-17,60.15205001831055,107.88056182861328,449.1086120605469,7.78382682800293,81.630615234375,103.93028259277344,17.412294387817383,8.370914459228516,2139.4169921875,20.08652687072754,24.4068546295166
2015-02-18,60.57381820678711,108.16883087158203,448.4130859375,8.046258926391602,81.79786682128906,104.07705688476562,17.744691848754883,8.460283279418945,2141.9033203125,20.475269317626953,24.399112701416016
2015-02-19,60.89011001586914,109.72240447998047,442.8489074707031,8.046258926391602,79.0656967163086,105.08006286621094,17.387144088745117,8.415600776672363,2097.15576171875,20.32065773010254,23.735767364501953
2015-02-20,61.07463455200195,110.83309936523438,443.8424377441406,8.105677604675293,79.1772232055664,105.44699096679688,17.313472747802734,8.375879287719727,2115.0556640625,20.484106063842773,23.764175415039062
