project_id,is_blue_ccs,log_capacity_mw,region,sponsor_type,sponsor_owner,tech,year_announced,duration,event_any,event_type
454,1,0.0,North_America,Other,"CF Industries Holdings, Inc.",Blue_CCS,2023.0,3,0,0
455,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2024.0,2,0,0
456,1,0.0,Asia,Other,POSCO Holdings Inc.,Blue_CCS,2024.0,2,0,0
457,0,3.044522437723423,Other_Europe,Unknown,Unknown,PEM,2024.0,2,0,0
458,0,3.269568939183719,North_America,Pure_play,Plug Power Inc.,PEM,2024.0,2,0,0
459,0,0.26236426446749106,Asia,Unknown,Unknown,PEM,2024.0,2,0,0
460,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2024.0,2,0,0
461,1,0.0,Other,Other,KPI Pertamina,Blue_CCS,2024.0,2,0,0
462,1,0.0,North_America,Other,"CF Industries Blue Point, LLC",Blue_CCS,2024.0,2,0,0
463,1,0.0,MENA,Other,NewMed Energy Limited Partnership,Blue_CCS,2022.0,4,0,0
464,0,0.8197798314933114,Other,Unknown,Unknown,PEM,2020.0,6,0,0
465,0,1.3862943611198906,Asia,Unknown,Unknown,PEM,2023.0,3,0,0
466,0,3.044522437723423,ANZ,Unknown,Unknown,PEM,2023.0,1,1,1
467,0,3.4339872044851463,ANZ,Unknown,Unknown,PEM,2023.0,1,1,1
468,0,1.0986122886681098,EU,Unknown,Unknown,PEM,2023.0,3,0,0
469,0,1.9459101490553132,North_America,Unknown,Unknown,PEM,2023.0,3,0,0
470,1,0.0,Other,Other,NIS-Petroleum Industry of Serbia,Blue_CCS,2023.0,3,0,0
471,0,1.0986122886681098,North_America,Unknown,Unknown,PEM,2023.0,3,0,0
472,1,0.0,North_America,Oil_major,BP p.l.c.,Blue_CCS,2023.0,3,0,0
473,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0
474,1,0.0,North_America,Other,U.S. Department of Energy,Blue_CCS,2023.0,3,0,0
475,0,7.447465691485828,North_America,Unknown,Unknown,PEM,2023.0,3,0,0
476,1,0.0,North_America,Other,Battelle Memorial Institute,Blue_CCS,2023.0,3,0,0
477,1,0.0,MENA,Other,Saudi Arabian Oil Company,Blue_CCS,2023.0,3,0,0
478,0,2.3978952727983707,EU,Other,Lhyfe SA,PEM,2023.0,3,0,0
479,0,0.04879016416943201,Other,Unknown,Unknown,PEM,2021.0,5,0,0
480,0,3.044522437723423,Other_Europe,Other,Trafigura Group Pte. Ltd.,PEM,2023.0,3,0,0
481,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,3,0,0
482,0,4.61512051684126,EU,Other,"Galp Energia, SGPS, S.A.",PEM,2023.0,3,0,0
483,0,8.006700845440367,ANZ,Other,Allied Green Ammonia Pty Ltd,PEM,2023.0,3,0,0
484,0,0.0,Asia,Unknown,Unknown,PEM,2023.0,3,0,0
485,0,3.573749146860305,EU,Industrial_gas,L'Air Liquide S.A.,PEM,2023.0,3,0,0
486,1,0.0,Other,Unknown,Unknown,Blue_CCS,2023.0,3,0,0
487,0,4.61512051684126,North_America,Unknown,Unknown,PEM,2023.0,3,0,0
488,0,4.61512051684126,North_America,Other,New Fortress Energy Inc.,PEM,2023.0,3,0,0
489,0,5.707110264748875,EU,Other,PCK Raffinerie GmbH,PEM,2023.0,3,0,0
490,0,0.5653138090500605,Other_Europe,Unknown,Unknown,PEM,2023.0,3,0,0
491,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0
492,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0
493,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0
494,1,0.0,North_America,Other,"Fidelis New Energy, LLC",Blue_CCS,2023.0,3,0,0
495,1,0.0,North_America,Other,PCS Nitrogen Fertilizer LP,Blue_CCS,2022.0,2,1,2
496,0,1.3862943611198906,EU,Unknown,Unknown,PEM,2023.0,3,0,0
497,0,1.791759469228055,Asia,Unknown,Unknown,PEM,2023.0,3,0,0
498,0,1.252762968495368,Asia,Unknown,Unknown,PEM,2023.0,3,0,0
499,0,0.0,Other,Unknown,Unknown,PEM,2021.0,5,0,0
500,1,0.0,EU,Other,Wintershall Dea AG,Blue_CCS,2022.0,4,0,0
501,1,0.0,EU,Oil_major,TotalEnergies SE,Blue_CCS,2021.0,5,0,0
502,1,0.0,Other,Other,Motor Oil Holdings SA,Blue_CCS,2023.0,3,0,0
503,0,1.791759469228055,Asia,Other,China Huadian Corporation Ltd.,PEM,2023.0,3,0,0
504,0,4.2626798770413155,EU,Unknown,Unknown,PEM,2023.0,3,0,0
