treatment,beta_EP,se,p,ci_lo,ci_hi,is_placebo,min_cell,fit_ok
CBAM_agreement_2022,1.696543025510775,0.8859426260165181,0.05549784478494797,-0.03990452148160051,3.4329905725031504,False,13,True
CBAM_regulation_2023,0.7595710804857198,1.004627509696081,0.4496058197123327,-1.209498838518599,2.7286409994900387,False,7,True
PLACEBO_2015,,,,,,True,2,False
PLACEBO_2017,2.078645689872518,1.2757691122129595,0.1032437089241726,-0.42186177006488235,4.579153149809919,True,4,True
PLACEBO_2019,2.2387355173630823,1.0754684250295994,0.037375583735289146,0.1308174043050676,4.3466536304210965,True,8,True
PLACEBO_2020,1.3555856244197342,0.9450575122127114,0.15145961769962063,-0.4967270995171802,3.2078983483566486,True,9,True
PLACEBO_2021,1.1699662193103606,0.8567467460433594,0.17206716271726696,-0.509257402934624,2.8491898415553454,True,15,True
