,beta,se,p,marg
EU-M1: Basic,0.9210640106268123,0.3917321658606543,0.018709975919571565,0.1707467027229281
EU-M2: + tech,0.8404804490931262,0.400208957687677,0.03571968997278052,0.15303971512696316
EU-M3: + capacity,0.8029521895043036,0.4414419078832809,0.06892202036282362,0.146179539016435
EU-M4: + year,1.0032366201238236,0.4662479341922907,0.03141914095309549,0.17269659151456512
