ticker,name,group,alpha_daily_%,beta_market,beta_market_t,gamma_eua,gamma_eua_t,r2,n_obs
NEL.OL,Nel ASA,GREEN,-0.19909963388448107,0.6036813584182663,4.911188574407287,0.06517323738373516,1.717923702828401,0.03027846537455603,939
ITM.L,ITM Power,GREEN,-0.20786560957274242,0.809297514105866,6.500733254919776,0.042873506963276985,1.115832178306678,0.046448950788433585,939
BLDP,Ballard Power,GREEN,-0.30992982010229225,1.6704750130703134,16.128502737971367,0.003261228201395858,0.10202133216582872,0.219704566558923,939
PLUG,Plug Power,GREEN,-0.4146181998834663,1.9669079386112558,12.880766771148428,-0.02654609351276331,-0.5632666469781438,0.15109693124706214,939
BE,Bloom Energy,GREEN,-0.06722813475900566,1.9062038069249148,15.413467746917743,-0.04535280400373386,-1.188203701733804,0.2025892412265653,939
APD,Air Products,INDGAS,-0.011621797436364776,0.74996211694043,18.147443830867257,0.016401014967301022,1.2858863671701024,0.26642512464777857,939
LIN,Linde plc,INDGAS,0.02105782744575828,0.7629039907607783,25.981238067479843,0.013756191974484066,1.5179026394895951,0.4257153413554243,939
AI.PA,Air Liquide,INDGAS,0.043035279946546844,0.26300621627889936,7.771450833411027,0.01284803321698568,1.230066167695415,0.06466937970878606,939
EQNR,Equinor ASA,OIL,0.023213726520628145,0.4496349807422074,7.881692230231092,0.06863693317967624,3.8982795871949625,0.08317494304257467,939
BP,BP plc,OIL,0.01146942262247066,0.6012580341108336,12.837432868868188,0.05088598790822211,3.52023158986139,0.16808061540458208,939
SHEL,Shell plc,OIL,0.04557066616358673,0.5451636036765745,13.01202387851573,0.041829461289928094,3.234863814252847,0.16951328629773343,939
TTE,TotalEnergies,OIL,0.03084878240245787,0.5476078701299435,12.919296709831459,0.03634646647706862,2.778351057644512,0.16465139411401464,939
XOM,Exxon Mobil,OIL,0.05971187419489549,0.5112320672622285,11.327989512929342,0.025286467904926897,1.8154264280411956,0.12819923921358478,939
CVX,Chevron,OIL,0.02837678547215227,0.5866446450259195,14.044638284978195,0.020116093433170175,1.560395986011523,0.18095833486044677,939
